LAUS Code,statefips,countyfips,County Name/State Abbreviation,Period,labor force,Employed,Unemployed,unemployment_rate
CN0100100000000,1,1,"Autauga County, AL",19-Nov,"26,086","25,500",586,2.2
CN0100300000000,1,3,"Baldwin County, AL",19-Nov,"96,603","94,405","2,198",2.3
CN0100500000000,1,5,"Barbour County, AL",19-Nov,"8,600","8,323",277,3.2
CN0100700000000,1,7,"Bibb County, AL",19-Nov,"8,720","8,510",210,2.4
CN0100900000000,1,9,"Blount County, AL",19-Nov,"25,411","24,851",560,2.2
CN0101100000000,1,11,"Bullock County, AL",19-Nov,"4,759","4,592",167,3.5
CN0101300000000,1,13,"Butler County, AL",19-Nov,"9,244","8,945",299,3.2
CN0101500000000,1,15,"Calhoun County, AL",19-Nov,"46,408","45,076","1,332",2.9
CN0101700000000,1,17,"Chambers County, AL",19-Nov,"15,873","15,492",381,2.4
CN0101900000000,1,19,"Cherokee County, AL",19-Nov,"11,487","11,218",269,2.3
CN0102100000000,1,21,"Chilton County, AL",19-Nov,"19,898","19,447",451,2.3
CN0102300000000,1,23,"Choctaw County, AL",19-Nov,"4,525","4,343",182,4
CN0102500000000,1,25,"Clarke County, AL",19-Nov,"7,409","7,058",351,4.7
CN0102700000000,1,27,"Clay County, AL",19-Nov,"6,110","5,962",148,2.4
CN0102900000000,1,29,"Cleburne County, AL",19-Nov,"5,757","5,615",142,2.5
CN0103100000000,1,31,"Coffee County, AL",19-Nov,"21,161","20,663",498,2.4
CN0103300000000,1,33,"Colbert County, AL",19-Nov,"23,719","23,015",704,3
CN0103500000000,1,35,"Conecuh County, AL",19-Nov,"4,462","4,316",146,3.3
CN0103700000000,1,37,"Coosa County, AL",19-Nov,"4,516","4,412",104,2.3
CN0103900000000,1,39,"Covington County, AL",19-Nov,"15,528","15,115",413,2.7
CN0104100000000,1,41,"Crenshaw County, AL",19-Nov,"6,388","6,240",148,2.3
CN0104300000000,1,43,"Cullman County, AL",19-Nov,"38,779","37,959",820,2.1
CN0104500000000,1,45,"Dale County, AL",19-Nov,"20,668","20,158",510,2.5
CN0104700000000,1,47,"Dallas County, AL",19-Nov,"14,524","13,913",611,4.2
CN0104900000000,1,49,"DeKalb County, AL",19-Nov,"30,847","30,156",691,2.2
CN0105100000000,1,51,"Elmore County, AL",19-Nov,"37,508","36,673",835,2.2
CN0105300000000,1,53,"Escambia County, AL",19-Nov,"14,802","14,379",423,2.9
CN0105500000000,1,55,"Etowah County, AL",19-Nov,"42,785","41,622","1,163",2.7
CN0105700000000,1,57,"Fayette County, AL",19-Nov,"6,570","6,402",168,2.6
CN0105900000000,1,59,"Franklin County, AL",19-Nov,"14,752","14,423",329,2.2
CN0106100000000,1,61,"Geneva County, AL",19-Nov,"10,979","10,722",257,2.3
CN0106300000000,1,63,"Greene County, AL",19-Nov,"2,866","2,735",131,4.6
CN0106500000000,1,65,"Hale County, AL",19-Nov,"6,141","5,953",188,3.1
CN0106700000000,1,67,"Henry County, AL",19-Nov,"6,915","6,719",196,2.8
CN0106900000000,1,69,"Houston County, AL",19-Nov,"46,336","45,207","1,129",2.4
CN0107100000000,1,71,"Jackson County, AL",19-Nov,"23,221","22,583",638,2.7
CN0107300000000,1,73,"Jefferson County, AL",19-Nov,"320,792","313,419","7,373",2.3
CN0107500000000,1,75,"Lamar County, AL",19-Nov,"5,842","5,697",145,2.5
CN0107700000000,1,77,"Lauderdale County, AL",19-Nov,"42,668","41,570","1,098",2.6
CN0107900000000,1,79,"Lawrence County, AL",19-Nov,"14,359","13,998",361,2.5
CN0108100000000,1,81,"Lee County, AL",19-Nov,"78,204","76,498","1,706",2.2
CN0108300000000,1,83,"Limestone County, AL",19-Nov,"44,197","43,261",936,2.1
CN0108500000000,1,85,"Lowndes County, AL",19-Nov,"3,549","3,384",165,4.6
CN0108700000000,1,87,"Macon County, AL",19-Nov,"7,915","7,647",268,3.4
CN0108900000000,1,89,"Madison County, AL",19-Nov,"186,938","183,118","3,820",2
CN0109100000000,1,91,"Marengo County, AL",19-Nov,"7,606","7,381",225,3
CN0109300000000,1,93,"Marion County, AL",19-Nov,"12,815","12,459",356,2.8
CN0109500000000,1,95,"Marshall County, AL",19-Nov,"43,957","43,067",890,2
CN0109700000000,1,97,"Mobile County, AL",19-Nov,"189,712","184,022","5,690",3
CN0109900000000,1,99,"Monroe County, AL",19-Nov,"7,306","6,999",307,4.2
CN0110100000000,1,101,"Montgomery County, AL",19-Nov,"105,553","102,883","2,670",2.5
CN0110300000000,1,103,"Morgan County, AL",19-Nov,"58,756","57,506","1,250",2.1
CN0110500000000,1,105,"Perry County, AL",19-Nov,"3,381","3,247",134,4
CN0110700000000,1,107,"Pickens County, AL",19-Nov,"8,002","7,787",215,2.7
CN0110900000000,1,109,"Pike County, AL",19-Nov,"15,572","15,146",426,2.7
CN0111100000000,1,111,"Randolph County, AL",19-Nov,"9,658","9,414",244,2.5
CN0111300000000,1,113,"Russell County, AL",19-Nov,"24,006","23,421",585,2.4
CN0111500000000,1,115,"St. Clair County, AL",19-Nov,"40,749","39,869",880,2.2
CN0111700000000,1,117,"Shelby County, AL",19-Nov,"116,853","114,752","2,101",1.8
CN0111900000000,1,119,"Sumter County, AL",19-Nov,"4,866","4,676",190,3.9
CN0112100000000,1,121,"Talladega County, AL",19-Nov,"35,651","34,669",982,2.8
CN0112300000000,1,123,"Tallapoosa County, AL",19-Nov,"18,546","18,095",451,2.4
CN0112500000000,1,125,"Tuscaloosa County, AL",19-Nov,"106,921","104,576","2,345",2.2
CN0112700000000,1,127,"Walker County, AL",19-Nov,"25,446","24,751",695,2.7
CN0112900000000,1,129,"Washington County, AL",19-Nov,"6,777","6,534",243,3.6
CN0113100000000,1,131,"Wilcox County, AL",19-Nov,"2,717","2,551",166,6.1
CN0113300000000,1,133,"Winston County, AL",19-Nov,"10,100","9,813",287,2.8
CN0201300000000,2,13,"Aleutians East Borough, AK",19-Nov,"1,401","1,329",72,5.1
CN0201600000000,2,16,"Aleutians West Census Area, AK",19-Nov,"2,848","2,701",147,5.2
CN0202000000000,2,20,"Anchorage Borough/municipality, AK",19-Nov,"148,116","140,837","7,279",4.9
CN0205000000000,2,50,"Bethel Census Area, AK",19-Nov,"7,179","6,368",811,11.3
CN0206000000000,2,60,"Bristol Bay Borough, AK",19-Nov,247,217,30,12.1
CN0206800000000,2,68,"Denali Borough, AK",19-Nov,584,488,96,16.4
CN0207000000000,2,70,"Dillingham Census Area, AK",19-Nov,"1,690","1,556",134,7.9
CN0209000000000,2,90,"Fairbanks North Star Borough, AK",19-Nov,"44,677","42,301","2,376",5.3
CN0210000000000,2,100,"Haines Borough, AK",19-Nov,970,839,131,13.5
CN0210500000000,2,105,"Hoonah-Angoon Census Area, AK",19-Nov,991,850,141,14.2
CN0211000000000,2,110,"Juneau Borough/city, AK",19-Nov,"16,521","15,788",733,4.4
CN0212200000000,2,122,"Kenai Peninsula Borough, AK",19-Nov,"25,292","23,470","1,822",7.2
CN0213000000000,2,130,"Ketchikan Gateway Borough, AK",19-Nov,"6,476","6,028",448,6.9
CN0215000000000,2,150,"Kodiak Island Borough, AK",19-Nov,"5,809","5,477",332,5.7
CN0215800000000,2,158,"Kusilvak Census Area, AK",19-Nov,"2,676","2,244",432,16.1
CN0216400000000,2,164,"Lake and Peninsula Borough, AK",19-Nov,605,551,54,8.9
CN0217000000000,2,170,"Matanuska-Susitna Borough, AK",19-Nov,"47,112","44,023","3,089",6.6
CN0218000000000,2,180,"Nome Census Area, AK",19-Nov,"4,123","3,737",386,9.4
CN0218500000000,2,185,"North Slope Borough, AK",19-Nov,"3,475","3,253",222,6.4
CN0218800000000,2,188,"Northwest Arctic Borough, AK",19-Nov,"3,147","2,715",432,13.7
CN0219500000000,2,195,"Petersburg Borough, AK",19-Nov,"1,287","1,170",117,9.1
CN0219800000000,2,198,"Prince of Wales-Hyder Census Area, AK",19-Nov,"2,828","2,577",251,8.9
CN0222000000000,2,220,"Sitka Borough/city, AK",19-Nov,"4,017","3,833",184,4.6
CN0223000000000,2,230,"Skagway Municipality, AK",19-Nov,618,498,120,19.4
CN0224000000000,2,240,"Southeast Fairbanks Census Area, AK",19-Nov,"2,865","2,626",239,8.3
CN0226100000000,2,261,"Valdez-Cordova Census Area, AK",19-Nov,"4,267","3,835",432,10.1
CN0227500000000,2,275,"Wrangell Borough/city, AK",19-Nov,988,909,79,8
CN0228200000000,2,282,"Yakutat Borough/city, AK",19-Nov,229,211,18,7.9
CN0229000000000,2,290,"Yukon-Koyukuk Census Area, AK",19-Nov,"2,444","2,143",301,12.3
CN0400100000000,4,1,"Apache County, AZ",19-Nov,"20,279","18,471","1,808",8.9
CN0400300000000,4,3,"Cochise County, AZ",19-Nov,"51,708","48,998","2,710",5.2
CN0400500000000,4,5,"Coconino County, AZ",19-Nov,"78,173","74,463","3,710",4.7
CN0400700000000,4,7,"Gila County, AZ",19-Nov,"21,765","20,573","1,192",5.5
CN0400900000000,4,9,"Graham County, AZ",19-Nov,"15,666","14,998",668,4.3
CN0401100000000,4,11,"Greenlee County, AZ",19-Nov,"4,549","4,389",160,3.5
CN0401200000000,4,12,"La Paz County, AZ",19-Nov,"9,709","9,218",491,5.1
CN0401300000000,4,13,"Maricopa County, AZ",19-Nov,"2,356,073","2,270,551","85,522",3.6
CN0401500000000,4,15,"Mohave County, AZ",19-Nov,"88,701","84,012","4,689",5.3
CN0401700000000,4,17,"Navajo County, AZ",19-Nov,"41,114","38,458","2,656",6.5
CN0401900000000,4,19,"Pima County, AZ",19-Nov,"504,426","483,933","20,493",4.1
CN0402100000000,4,21,"Pinal County, AZ",19-Nov,"192,465","183,669","8,796",4.6
CN0402300000000,4,23,"Santa Cruz County, AZ",19-Nov,"19,882","18,276","1,606",8.1
CN0402500000000,4,25,"Yavapai County, AZ",19-Nov,"108,301","103,823","4,478",4.1
CN0402700000000,4,27,"Yuma County, AZ",19-Nov,"102,376","86,784","15,592",15.2
CN0500100000000,5,1,"Arkansas County, AR",19-Nov,"9,385","9,129",256,2.7
CN0500300000000,5,3,"Ashley County, AR",19-Nov,"7,566","7,196",370,4.9
CN0500500000000,5,5,"Baxter County, AR",19-Nov,"16,191","15,639",552,3.4
CN0500700000000,5,7,"Benton County, AR",19-Nov,"138,707","135,615","3,092",2.2
CN0500900000000,5,9,"Boone County, AR",19-Nov,"16,031","15,588",443,2.8
CN0501100000000,5,11,"Bradley County, AR",19-Nov,"4,453","4,307",146,3.3
CN0501300000000,5,13,"Calhoun County, AR",19-Nov,"2,443","2,352",91,3.7
CN0501500000000,5,15,"Carroll County, AR",19-Nov,"12,720","12,402",318,2.5
CN0501700000000,5,17,"Chicot County, AR",19-Nov,"3,239","3,053",186,5.7
CN0501900000000,5,19,"Clark County, AR",19-Nov,"9,803","9,483",320,3.3
CN0502100000000,5,21,"Clay County, AR",19-Nov,"5,613","5,368",245,4.4
CN0502300000000,5,23,"Cleburne County, AR",19-Nov,"9,092","8,709",383,4.2
CN0502500000000,5,25,"Cleveland County, AR",19-Nov,"3,213","3,098",115,3.6
CN0502700000000,5,27,"Columbia County, AR",19-Nov,"9,224","8,868",356,3.9
CN0502900000000,5,29,"Conway County, AR",19-Nov,"8,289","7,991",298,3.6
CN0503100000000,5,31,"Craighead County, AR",19-Nov,"56,299","55,005","1,294",2.3
CN0503300000000,5,33,"Crawford County, AR",19-Nov,"26,895","26,153",742,2.8
CN0503500000000,5,35,"Crittenden County, AR",19-Nov,"21,511","20,765",746,3.5
CN0503700000000,5,37,"Cross County, AR",19-Nov,"7,394","7,120",274,3.7
CN0503900000000,5,39,"Dallas County, AR",19-Nov,"2,831","2,714",117,4.1
CN0504100000000,5,41,"Desha County, AR",19-Nov,"5,410","5,200",210,3.9
CN0504300000000,5,43,"Drew County, AR",19-Nov,"7,935","7,572",363,4.6
CN0504500000000,5,45,"Faulkner County, AR",19-Nov,"62,075","60,443","1,632",2.6
CN0504700000000,5,47,"Franklin County, AR",19-Nov,"7,457","7,239",218,2.9
CN0504900000000,5,49,"Fulton County, AR",19-Nov,"4,925","4,770",155,3.1
CN0505100000000,5,51,"Garland County, AR",19-Nov,"40,659","39,335","1,324",3.3
CN0505300000000,5,53,"Grant County, AR",19-Nov,"8,379","8,134",245,2.9
CN0505500000000,5,55,"Greene County, AR",19-Nov,"20,052","19,444",608,3
CN0505700000000,5,57,"Hempstead County, AR",19-Nov,"9,869","9,544",325,3.3
CN0505900000000,5,59,"Hot Spring County, AR",19-Nov,"13,983","13,549",434,3.1
CN0506100000000,5,61,"Howard County, AR",19-Nov,"5,698","5,537",161,2.8
CN0506300000000,5,63,"Independence County, AR",19-Nov,"16,553","15,952",601,3.6
CN0506500000000,5,65,"Izard County, AR",19-Nov,"4,862","4,620",242,5
CN0506700000000,5,67,"Jackson County, AR",19-Nov,"5,830","5,484",346,5.9
CN0506900000000,5,69,"Jefferson County, AR",19-Nov,"27,654","26,303","1,351",4.9
CN0507100000000,5,71,"Johnson County, AR",19-Nov,"10,263","9,900",363,3.5
CN0507300000000,5,73,"Lafayette County, AR",19-Nov,"2,450","2,350",100,4.1
CN0507500000000,5,75,"Lawrence County, AR",19-Nov,"6,868","6,617",251,3.7
CN0507700000000,5,77,"Lee County, AR",19-Nov,"2,820","2,701",119,4.2
CN0507900000000,5,79,"Lincoln County, AR",19-Nov,"3,927","3,782",145,3.7
CN0508100000000,5,81,"Little River County, AR",19-Nov,"5,541","5,329",212,3.8
CN0508300000000,5,83,"Logan County, AR",19-Nov,"8,532","8,196",336,3.9
CN0508500000000,5,85,"Lonoke County, AR",19-Nov,"34,303","33,315",988,2.9
CN0508700000000,5,87,"Madison County, AR",19-Nov,"7,490","7,329",161,2.1
CN0508900000000,5,89,"Marion County, AR",19-Nov,"6,573","6,354",219,3.3
CN0509100000000,5,91,"Miller County, AR",19-Nov,"19,772","19,082",690,3.5
CN0509300000000,5,93,"Mississippi County, AR",19-Nov,"17,233","16,530",703,4.1
CN0509500000000,5,95,"Monroe County, AR",19-Nov,"2,718","2,611",107,3.9
CN0509700000000,5,97,"Montgomery County, AR",19-Nov,"2,891","2,766",125,4.3
CN0509900000000,5,99,"Nevada County, AR",19-Nov,"3,625","3,504",121,3.3
CN0510100000000,5,101,"Newton County, AR",19-Nov,"3,323","3,224",99,3
CN0510300000000,5,103,"Ouachita County, AR",19-Nov,"9,787","9,355",432,4.4
CN0510500000000,5,105,"Perry County, AR",19-Nov,"4,221","4,087",134,3.2
CN0510700000000,5,107,"Phillips County, AR",19-Nov,"6,306","5,961",345,5.5
CN0510900000000,5,109,"Pike County, AR",19-Nov,"4,204","4,059",145,3.4
CN0511100000000,5,111,"Poinsett County, AR",19-Nov,"10,391","10,089",302,2.9
CN0511300000000,5,113,"Polk County, AR",19-Nov,"8,151","7,823",328,4
CN0511500000000,5,115,"Pope County, AR",19-Nov,"28,922","27,905","1,017",3.5
CN0511700000000,5,117,"Prairie County, AR",19-Nov,"3,576","3,443",133,3.7
CN0511900000000,5,119,"Pulaski County, AR",19-Nov,"189,276","183,501","5,775",3.1
CN0512100000000,5,121,"Randolph County, AR",19-Nov,"7,345","7,106",239,3.3
CN0512300000000,5,123,"St. Francis County, AR",19-Nov,"8,111","7,766",345,4.3
CN0512500000000,5,125,"Saline County, AR",19-Nov,"58,825","57,355","1,470",2.5
CN0512700000000,5,127,"Scott County, AR",19-Nov,"4,307","4,175",132,3.1
CN0512900000000,5,129,"Searcy County, AR",19-Nov,"2,814","2,698",116,4.1
CN0513100000000,5,131,"Sebastian County, AR",19-Nov,"56,702","55,087","1,615",2.8
CN0513300000000,5,133,"Sevier County, AR",19-Nov,"5,498","5,275",223,4.1
CN0513500000000,5,135,"Sharp County, AR",19-Nov,"5,681","5,428",253,4.5
CN0513700000000,5,137,"Stone County, AR",19-Nov,"4,623","4,433",190,4.1
CN0513900000000,5,139,"Union County, AR",19-Nov,"15,776","15,011",765,4.8
CN0514100000000,5,141,"Van Buren County, AR",19-Nov,"5,662","5,415",247,4.4
CN0514300000000,5,143,"Washington County, AR",19-Nov,"126,299","123,692","2,607",2.1
CN0514500000000,5,145,"White County, AR",19-Nov,"33,758","32,436","1,322",3.9
CN0514700000000,5,147,"Woodruff County, AR",19-Nov,"2,753","2,625",128,4.6
CN0514900000000,5,149,"Yell County, AR",19-Nov,"8,415","8,160",255,3
CN0600100000000,6,1,"Alameda County, CA",19-Nov,"846,991","824,242","22,749",2.7
CN0600300000000,6,3,"Alpine County, CA",19-Nov,500,475,25,5
CN0600500000000,6,5,"Amador County, CA",19-Nov,"14,937","14,423",514,3.4
CN0600700000000,6,7,"Butte County, CA",19-Nov,"99,254","95,082","4,172",4.2
CN0600900000000,6,9,"Calaveras County, CA",19-Nov,"21,596","20,875",721,3.3
CN0601100000000,6,11,"Colusa County, CA",19-Nov,"10,587","9,456","1,131",10.7
CN0601300000000,6,13,"Contra Costa County, CA",19-Nov,"563,394","547,608","15,786",2.8
CN0601500000000,6,15,"Del Norte County, CA",19-Nov,"9,613","9,084",529,5.5
CN0601700000000,6,17,"El Dorado County, CA",19-Nov,"92,397","89,507","2,890",3.1
CN0601900000000,6,19,"Fresno County, CA",19-Nov,"448,416","418,471","29,945",6.7
CN0602100000000,6,21,"Glenn County, CA",19-Nov,"12,946","12,329",617,4.8
CN0602300000000,6,23,"Humboldt County, CA",19-Nov,"63,086","61,123","1,963",3.1
CN0602500000000,6,25,"Imperial County, CA",19-Nov,"72,396","58,890","13,506",18.7
CN0602700000000,6,27,"Inyo County, CA",19-Nov,"8,774","8,503",271,3.1
CN0602900000000,6,29,"Kern County, CA",19-Nov,"395,137","369,899","25,238",6.4
CN0603100000000,6,31,"Kings County, CA",19-Nov,"57,402","53,245","4,157",7.2
CN0603300000000,6,33,"Lake County, CA",19-Nov,"28,793","27,417","1,376",4.8
CN0603500000000,6,35,"Lassen County, CA",19-Nov,"10,318","9,957",361,3.5
CN0603700000000,6,37,"Los Angeles County, CA",19-Nov,"5,177,117","4,963,388","213,729",4.1
CN0603900000000,6,39,"Madera County, CA",19-Nov,"60,686","56,929","3,757",6.2
CN0604100000000,6,41,"Marin County, CA",19-Nov,"140,995","138,064","2,931",2.1
CN0604300000000,6,43,"Mariposa County, CA",19-Nov,"7,321","7,023",298,4.1
CN0604500000000,6,45,"Mendocino County, CA",19-Nov,"38,558","37,219","1,339",3.5
CN0604700000000,6,47,"Merced County, CA",19-Nov,"115,475","107,741","7,734",6.7
CN0604900000000,6,49,"Modoc County, CA",19-Nov,"3,110","2,934",176,5.7
CN0605100000000,6,51,"Mono County, CA",19-Nov,"7,915","7,601",314,4
CN0605300000000,6,53,"Monterey County, CA",19-Nov,"219,427","209,156","10,271",4.7
CN0605500000000,6,55,"Napa County, CA",19-Nov,"73,640","71,720","1,920",2.6
CN0605700000000,6,57,"Nevada County, CA",19-Nov,"48,473","47,039","1,434",3
CN0605900000000,6,59,"Orange County, CA",19-Nov,"1,630,097","1,588,311","41,786",2.6
CN0606100000000,6,61,"Placer County, CA",19-Nov,"188,849","183,568","5,281",2.8
CN0606300000000,6,63,"Plumas County, CA",19-Nov,"7,576","7,113",463,6.1
CN0606500000000,6,65,"Riverside County, CA",19-Nov,"1,116,161","1,073,080","43,081",3.9
CN0606700000000,6,67,"Sacramento County, CA",19-Nov,"715,263","691,610","23,653",3.3
CN0606900000000,6,69,"San Benito County, CA",19-Nov,"31,388","30,015","1,373",4.4
CN0607100000000,6,71,"San Bernardino County, CA",19-Nov,"978,931","944,748","34,183",3.5
CN0607300000000,6,73,"San Diego County, CA",19-Nov,"1,600,077","1,553,350","46,727",2.9
CN0607500000000,6,75,"San Francisco County/city, CA",19-Nov,"589,758","578,050","11,708",2
CN0607700000000,6,77,"San Joaquin County, CA",19-Nov,"325,674","308,123","17,551",5.4
CN0607900000000,6,79,"San Luis Obispo County, CA",19-Nov,"142,044","138,410","3,634",2.6
CN0608100000000,6,81,"San Mateo County, CA",19-Nov,"465,463","456,745","8,718",1.9
CN0608300000000,6,83,"Santa Barbara County, CA",19-Nov,"218,458","211,469","6,989",3.2
CN0608500000000,6,85,"Santa Clara County, CA",19-Nov,"1,059,219","1,034,732","24,487",2.3
